longitude,latitude,forest_loss_prediction
81.5728,28.3373,0
83.0317,27.6223,0
81.4634,28.6048,0
81.2716,28.5802,0
80.7101,28.6926,1
81.3097,29.664,0
82.054,28.258,0
84.8317,27.9784,1
81.6777,28.2941,1
80.8594,28.5736,0
80.372,29.1035,1
81.0089,28.9011,0
82.1804,28.0141,0
81.5192,28.4098,0
84.5371,27.4028,1
81.62,28.436,1
82.8064,27.8891,0
81.3073,28.5832,1
82.084,28.3624,0
85.9429,27.1009,0
84.8002,27.2856,0
82.6325,28.0119,0
83.1813,28.0174,1
81.1126,28.8596,0
80.6798,28.909,0
82.8897,28.0605,1
86.1871,26.9618,0
80.2727,29.1291,0
82.2184,28.2756,0
81.475,28.3854,0
81.6533,28.3937,0
81.9428,28.1415,1
81.588,28.446,1
81.692,28.3094,0
85.1089,27.1094,0
81.8564,28.2129,1
81.5607,28.3283,0
81.8066,28.2378,0
82.25,28.3594,1
81.4123,28.5017,0
80.2402,28.8416,0
84.8964,27.3509,0
81.9166,28.0923,0
80.8489,28.5722,0
83.235,27.6806,0
80.5032,29.0477,0
81.9588,28.0991,1
81.4893,28.6955,0
80.321,28.838,0
80.1499,28.8725,0
81.9483,28.1249,0
81.9409,28.0964,0
87.4677,26.9325,1
86.6287,26.6939,1
82.0641,28.437,1
84.0742,27.5165,0
80.2686,29.0672,0
80.3685,29.4467,1
87.7648,27.4686,1
82.6034,27.9358,0
87.7017,27.4238,0
82.2791,28.3832,0
84.4899,28.3495,0
81.8494,28.6292,0
81.3634,28.508,1
84.8042,27.326,0
82.0078,28.1588,0
82.2291,27.994,1
80.8762,28.5315,1
81.53,28.3526,0
80.614,29.1087,1
81.215,28.6082,0
86.1471,27.3306,0
81.9266,27.9073,1
80.1517,28.8635,0
80.6227,28.9373,0
82.1564,28.017,0
80.8452,28.5704,1
81.8534,28.2796,0
80.6214,29.4855,1
82.2979,28.33,0
80.48,28.989,0
81.8281,28.3321,0
80.6155,29.0316,1
82.9891,28.1051,0
80.4155,29.0094,1
82.2086,27.9007,0
81.3461,28.5665,0
85.7724,27.1559,0
81.9373,28.1262,1
82.5808,27.8903,1
81.6777,28.2941,0
80.7225,29.0513,0
80.3304,28.9743,0
84.3928,27.5603,0
82.0849,28.4418,0
85.7256,27.0236,0
81.3597,28.5017,0
80.3133,29.1054,1
81.3712,28.5704,1
81.903,28.1596,0
81.7351,28.2601,0
80.4155,29.0094,0
82.2139,27.9537,0
81.0718,28.8909,1
86.7153,26.6821,0
81.8885,28.1879,0
81.2117,28.8305,0
81.5924,28.3954,0
81.3962,28.3606,1
82.1953,28.3157,0
82.8076,27.8389,0
81.2042,28.7409,0
82.1052,28.0666,0
81.8761,28.1526,0
80.3713,28.9938,1
81.5608,28.2417,0
81.2901,28.6138,0
81.9132,28.158,0
81.4006,28.4325,0
81.5422,28.316,0
82.7565,27.8699,0
83.61,27.6807,0
83.6009,28.4547,1
82.7183,27.6855,0
84.4761,27.5546,1
82.0949,28.4944,0
81.917,28.0977,0
86.5552,26.9125,1
82.8571,27.7452,0
82.1603,28.5429,1
80.6769,28.8452,1
81.4904,28.3249,0
81.4474,28.6096,0
84.2087,27.5417,1
80.5324,29.0454,1
81.3573,28.7859,0
84.7652,27.3426,0
83.9914,27.6,1
81.5105,28.6906,1
81.9428,28.1415,0
81.307,28.6794,0
81.9292,28.1346,0
81.8059,28.0322,1
81.8231,28.3696,0
81.5155,28.4968,0
81.5563,28.3228,0
80.6422,29.4015,0
81.4835,28.6978,0
84.4762,27.5614,0
80.4033,28.7867,0
86.8191,26.681,0
